INFO:root:Epoch: 1, Train: [Loss: 1.550, Acc: 1.257], Test: [Loss: 0.657, Acc: 0.810]
INFO:root:Epoch: 2, Train: [Loss: 1.544, Acc: 1.250], Test: [Loss: 0.606, Acc: 0.778]
INFO:root:Epoch: 3, Train: [Loss: 1.220, Acc: 1.117], Test: [Loss: 0.549, Acc: 0.741]
INFO:root:Epoch: 4, Train: [Loss: 1.096, Acc: 1.046], Test: [Loss: 0.492, Acc: 0.701]
INFO:root:Epoch: 5, Train: [Loss: 1.005, Acc: 0.996], Test: [Loss: 0.440, Acc: 0.664]
INFO:root:Epoch: 6, Train: [Loss: 0.947, Acc: 0.963], Test: [Loss: 0.396, Acc: 0.630]
INFO:root:Epoch: 7, Train: [Loss: 0.986, Acc: 1.005], Test: [Loss: 0.362, Acc: 0.602]
INFO:root:Epoch: 8, Train: [Loss: 0.916, Acc: 0.972], Test: [Loss: 0.339, Acc: 0.582]
INFO:root:Epoch: 9, Train: [Loss: 0.873, Acc: 0.939], Test: [Loss: 0.321, Acc: 0.567]
INFO:root:Epoch: 10, Train: [Loss: 0.847, Acc: 0.930], Test: [Loss: 0.309, Acc: 0.556]
INFO:root:Epoch: 11, Train: [Loss: 0.780, Acc: 0.892], Test: [Loss: 0.298, Acc: 0.546]
INFO:root:Epoch: 12, Train: [Loss: 0.806, Acc: 0.897], Test: [Loss: 0.285, Acc: 0.534]
INFO:root:Epoch: 13, Train: [Loss: 0.595, Acc: 0.778], Test: [Loss: 0.270, Acc: 0.520]
INFO:root:Epoch: 14, Train: [Loss: 0.750, Acc: 0.865], Test: [Loss: 0.251, Acc: 0.501]
INFO:root:Epoch: 15, Train: [Loss: 0.706, Acc: 0.851], Test: [Loss: 0.230, Acc: 0.479]
INFO:root:Epoch: 16, Train: [Loss: 0.523, Acc: 0.723], Test: [Loss: 0.208, Acc: 0.456]
INFO:root:Epoch: 17, Train: [Loss: 0.599, Acc: 0.767], Test: [Loss: 0.185, Acc: 0.430]
INFO:root:Epoch: 18, Train: [Loss: 0.568, Acc: 0.768], Test: [Loss: 0.162, Acc: 0.402]
INFO:root:Epoch: 19, Train: [Loss: 0.497, Acc: 0.711], Test: [Loss: 0.144, Acc: 0.379]
INFO:root:Epoch: 20, Train: [Loss: 0.448, Acc: 0.664], Test: [Loss: 0.135, Acc: 0.367]
INFO:root:Epoch: 21, Train: [Loss: 0.380, Acc: 0.610], Test: [Loss: 0.132, Acc: 0.364]
INFO:root:Epoch: 22, Train: [Loss: 0.474, Acc: 0.694], Test: [Loss: 0.136, Acc: 0.368]
INFO:root:Epoch: 23, Train: [Loss: 0.440, Acc: 0.658], Test: [Loss: 0.145, Acc: 0.380]
INFO:root:Epoch: 24, Train: [Loss: 0.436, Acc: 0.657], Test: [Loss: 0.157, Acc: 0.397]
INFO:root:Epoch: 25, Train: [Loss: 0.442, Acc: 0.666], Test: [Loss: 0.172, Acc: 0.414]
